"Date","Price","Open","High","Low","Vol.","Change %"
"May 06, 2018","12,948.14","12,824.76","12,961.56","12,813.04","-","1.00%"
"Apr 29, 2018","12,819.60","12,606.27","12,827.54","12,563.74","417.86M","1.90%"
"Apr 22, 2018","12,580.87","12,538.16","12,647.16","12,312.27","535.89M","0.32%"
"Apr 15, 2018","12,540.50","12,478.99","12,640.25","12,375.63","426.17M","0.79%"
"Apr 08, 2018","12,442.40","12,311.02","12,523.97","12,205.39","447.63M","1.64%"
"Apr 01, 2018","12,241.27","11,997.47","12,322.37","11,792.35","410.96M","1.19%"
"Mar 25, 2018","12,096.73","11,919.64","12,151.31","11,726.62","436.62M","1.77%"
"Mar 18, 2018","11,886.31","12,346.51","12,369.77","11,818.70","580.60M","-4.06%"
"Mar 11, 2018","12,389.58","12,453.30","12,459.90","12,162.47","713.80M","0.35%"
"Mar 04, 2018","12,346.68","11,831.57","12,407.98","11,830.98","516.73M","3.63%"
"Feb 25, 2018","11,913.71","12,566.05","12,601.46","11,877.66","511.05M","-4.57%"
"Feb 18, 2018","12,483.79","12,495.07","12,513.32","12,283.70","453.12M","0.26%"
"Feb 11, 2018","12,451.96","12,238.63","12,484.12","12,075.21","578.87M","2.85%"
"Feb 04, 2018","12,107.48","12,687.79","12,752.60","12,003.36","826.88M","-5.30%"
"Jan 28, 2018","12,785.16","13,358.90","13,370.02","12,782.07","587.19M","-4.16%"
"Jan 21, 2018","13,340.17","13,435.14","13,596.89","13,222.47","494.71M","-0.70%"
"Jan 14, 2018","13,434.45","13,244.37","13,445.47","13,137.51","443.36M","1.43%"
"Jan 07, 2018","13,245.03","13,399.62","13,425.02","13,151.84","524.31M","-0.56%"
"Dec 31, 2017","13,319.64","12,897.69","13,332.80","12,745.15","396.51M","3.11%"
"Dec 24, 2017","12,917.64","13,070.19","13,128.74","12,911.73","134.02M","-1.19%"
"Dec 17, 2017","13,072.79","13,211.63","13,338.91","13,013.63","382.08M","-0.23%"
"Dec 10, 2017","13,103.56","13,181.85","13,192.42","13,008.07","590.03M","-0.38%"
"Dec 03, 2017","13,153.70","13,038.77","13,240.92","12,864.68","445.77M","2.27%"
